,cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w,x,y,z,B_x,B_y,B_z
177,177,1565408577,1565408581,-7.95,122.37,247.25,0.288166,0.004204555,2.44876,0.00043359,0.35996,0.000969613,18.2,-247.25,121.12,-0.288166,-0.35996,2.44876
182,182,1565408737,1565408741,-27.95,122.37,247.25,0.267354,0.001702683,2.42514,0.000151658,0.338304,0.00137992,38.2,-247.25,121.12,-0.267354,-0.338304,2.42514
152,152,1565407881,1565407885,-67.95,122.37,287.25,0.270028,0.000162696,2.4756,0,0.196716,0.000711358,78.2,-287.25,121.12,-0.270028,-0.196716,2.4756
157,157,1565408092,1565408096,-27.95,122.37,287.25,0.321342,0.001836728,2.52364,0.000151658,0.31028,0.002278739,38.2,-287.25,121.12,-0.321342,-0.31028,2.52364
162,162,1565408230,1565408234,-7.95,122.37,287.25,0.349106,0.000940335,2.55138,0.000672309,0.3466,0.004582068,18.2,-287.25,121.12,-0.349106,-0.3466,2.55138
167,167,1565408349,1565408353,12.05,122.37,287.25,0.397764,0.000328755,2.5841,0.0001,0.381574,0.00099676,-1.8,-287.25,121.12,-0.397764,-0.381574,2.5841
32,32,1565405273,1565405277,12.05,122.37,327.25,0.544818,0.001138253,2.72534,0.000167332,0.30148,0.001208118,-1.8,-327.25,121.12,-0.544818,-0.30148,2.72534
37,37,1565405405,1565405409,-7.95,122.37,327.25,0.47231,0.000865188,2.678,0.000122474,0.23109,0.000464166,18.2,-327.25,121.12,-0.47231,-0.23109,2.678
102,102,1565406816,1565406820,-27.95,122.37,327.25,0.421928,0.0003455,2.63472,0.000178885,0.1613366,0.00273054,38.2,-327.25,121.12,-0.421928,-0.1613366,2.63472
107,107,1565406938,1565406942,-67.95,122.37,327.25,0.319646,0.000213378,2.5775,0,0.0942914,0.001316693,78.2,-327.25,121.12,-0.319646,-0.0942914,2.5775
3,3,1565404661,1565404665,12.05,162.37,-32.75,0.1475476,0.000664028,2.1783,0,0.29663,0.000370135,-1.8,32.75,161.12,-0.1475476,-0.29663,2.1783
68,68,1565406076,1565406080,-7.95,162.37,-32.75,0.1274612,0.000793469,2.12558,8.37E-05,0.288878,0.000217417,18.2,32.75,161.12,-0.1274612,-0.288878,2.12558
73,73,1565406174,1565406178,-27.95,162.37,-32.75,0.115323,0.00101009,2.07184,5.48E-05,0.304254,0.000772062,38.2,32.75,161.12,-0.115323,-0.304254,2.07184
138,138,1565407503,1565407507,-67.95,162.37,-32.75,0.0846974,0.000345873,1.97874,5.48E-05,0.295932,0.000923401,78.2,32.75,161.12,-0.0846974,-0.295932,1.97874
8,8,1565404762,1565404766,12.05,162.37,7.25,0.1439098,0.000822248,2.20664,5.48E-05,0.315066,0.000564074,-1.8,-7.25,161.12,-0.1439098,-0.315066,2.20664
63,63,1565405996,1565406000,-7.95,162.37,7.25,0.106412,0.005110513,2.15962,0.000164317,0.297528,0.00041191,18.2,-7.25,161.12,-0.106412,-0.297528,2.15962
78,78,1565406261,1565406265,-27.95,162.37,7.25,0.098453,0.000200822,2.11138,8.37E-05,0.312456,0.000563143,38.2,-7.25,161.12,-0.098453,-0.312456,2.11138
133,133,1565407361,1565407365,-67.95,162.37,7.25,0.0821936,0.000730883,2.02714,5.48E-05,0.305736,0.000368416,78.2,-7.25,161.12,-0.0821936,-0.305736,2.02714
13,13,1565404838,1565404842,12.05,162.37,47.25,0.1364772,0.000866958,2.2415,7.07E-05,0.324422,0.000301944,-1.8,-47.25,161.12,-0.1364772,-0.324422,2.2415
58,58,1565405907,1565405911,-7.95,162.37,47.25,0.1163126,0.000833425,2.1971,0,0.308804,0.000285797,18.2,-47.25,161.12,-0.1163126,-0.308804,2.1971
83,83,1565406357,1565406361,-27.95,162.37,47.25,0.0950968,0.001638743,2.1543,7.07E-05,0.317064,0.000361012,38.2,-47.25,161.12,-0.0950968,-0.317064,2.1543
128,128,1565407285,1565407289,-67.95,162.37,47.25,0.0674202,0.001866559,2.07304,8.94E-05,0.307102,0.001072133,78.2,-47.25,161.12,-0.0674202,-0.307102,2.07304
18,18,1565404941,1565404945,12.05,162.37,87.25,0.1302378,0.003198533,2.28106,0.000167332,0.328646,0.000967822,-1.8,-87.25,161.12,-0.1302378,-0.328646,2.28106
53,53,1565405827,1565405831,-7.95,162.37,87.25,0.1192252,0.001290335,2.23938,8.37E-05,0.318986,0.000417409,18.2,-87.25,161.12,-0.1192252,-0.318986,2.23938
88,88,1565406449,1565406453,-27.95,162.37,87.25,0.0956526,0.001718986,2.19864,5.48E-05,0.311818,0.000654041,38.2,-87.25,161.12,-0.0956526,-0.311818,2.19864
123,123,1565407224,1565407228,-67.95,162.37,87.25,0.0592562,0.002727427,2.12666,5.48E-05,0.285298,0.000815763,78.2,-87.25,161.12,-0.0592562,-0.285298,2.12666
23,23,1565405026,1565405030,12.05,162.37,127.25,0.155824,0.000632228,2.32648,4.47E-05,0.33814,0.000429593,-1.8,-127.25,161.12,-0.155824,-0.33814,2.32648
48,48,1565405727,1565405731,-7.95,162.37,127.25,0.1383572,0.001483904,2.2873,7.07E-05,0.316064,0.000462472,18.2,-127.25,161.12,-0.1383572,-0.316064,2.2873
93,93,1565406538,1565406542,-27.95,162.37,127.25,0.1097244,0.000456449,2.24912,8.37E-05,0.3112,0.001451775,38.2,-127.25,161.12,-0.1097244,-0.3112,2.24912
118,118,1565407155,1565407159,-67.95,162.37,127.25,0.085281,0.001702205,2.18014,5.48E-05,0.301244,0.000309403,78.2,-127.25,161.12,-0.085281,-0.301244,2.18014
28,28,1565405158,1565405162,12.05,162.37,167.25,0.1807382,0.001702862,2.37824,0.000167332,0.340982,0.002372735,-1.8,-167.25,161.12,-0.1807382,-0.340982,2.37824
43,43,1565405601,1565405605,-7.95,162.37,167.25,0.148199,0.000857198,2.34152,8.37E-05,0.321534,0.000868953,18.2,-167.25,161.12,-0.148199,-0.321534,2.34152
98,98,1565406653,1565406657,-27.95,162.37,167.25,0.130408,0.001094797,2.30588,0.000130384,0.304436,0.000392721,38.2,-167.25,161.12,-0.130408,-0.304436,2.30588
113,113,1565407070,1565407074,-67.95,162.37,167.25,0.0902652,0.001131462,2.24228,4.47E-05,0.267926,0.000709176,78.2,-167.25,161.12,-0.0902652,-0.267926,2.24228
143,143,1565407676,1565407680,-67.95,162.37,207.25,0.1173278,0.001922223,2.30698,8.37E-05,0.240394,0.000760414,78.2,-207.25,161.12,-0.1173278,-0.240394,2.30698
188,188,1565408877,1565408881,-27.95,162.37,207.25,0.1693288,0.001938463,2.36996,8.94E-05,0.287764,0.000994525,38.2,-207.25,161.12,-0.1693288,-0.287764,2.36996
193,193,1565409008,1565409012,-7.95,162.37,207.25,0.1684338,0.002212623,2.40156,0.000114018,0.327348,0.000656902,18.2,-207.25,161.12,-0.1684338,-0.327348,2.40156
198,198,1565409149,1565409153,12.05,162.37,207.25,0.18988,0.002099333,2.43854,8.94E-05,0.34304,0.000308383,-1.8,-207.25,161.12,-0.18988,-0.34304,2.43854
148,148,1565407756,1565407760,-67.95,162.37,247.25,0.152054,0.000244586,2.3762,0,0.1744904,0.000252538,78.2,-247.25,161.12,-0.152054,-0.1744904,2.3762
173,173,1565408503,1565408507,12.05,162.37,247.25,0.247948,0.003842547,2.51284,0.000260768,0.313152,0.00055621,-1.8,-247.25,161.12,-0.247948,-0.313152,2.51284
178,178,1565408585,1565408589,-7.95,162.37,247.25,0.220328,0.003711687,2.47538,0.000238747,0.271882,0.00217179,18.2,-247.25,161.12,-0.220328,-0.271882,2.47538
183,183,1565408746,1565408750,-27.95,162.37,247.25,0.213898,0.00563061,2.44122,0.000471169,0.250622,0.001947542,38.2,-247.25,161.12,-0.213898,-0.250622,2.44122
153,153,1565407893,1565407897,-67.95,162.37,287.25,0.215234,0.000463605,2.45014,0.000134164,0.1012388,0.001373332,78.2,-287.25,161.12,-0.215234,-0.1012388,2.45014
158,158,1565408104,1565408108,-27.95,162.37,287.25,0.253874,0.001063452,2.52118,4.47E-05,0.218724,0.000406485,38.2,-287.25,161.12,-0.253874,-0.218724,2.52118
163,163,1565408240,1565408244,-7.95,162.37,287.25,0.273564,0.001669635,2.5598,0.0002,0.234058,0.000260038,18.2,-287.25,161.12,-0.273564,-0.234058,2.5598
168,168,1565408358,1565408362,12.05,162.37,287.25,0.317396,0.001145635,2.60132,0.000130384,0.26613,0.000476707,-1.8,-287.25,161.12,-0.317396,-0.26613,2.60132
33,33,1565405285,1565405289,12.05,162.37,327.25,0.441598,0.00070251,2.70088,8.37E-05,0.1625406,0.000874024,-1.8,-327.25,161.12,-0.441598,-0.1625406,2.70088
38,38,1565405418,1565405422,-7.95,162.37,327.25,0.369604,0.004415165,2.64858,0.000449444,0.1092562,0.000558198,18.2,-327.25,161.12,-0.369604,-0.1092562,2.64858
103,103,1565406827,1565406831,-27.95,162.37,327.25,0.332884,0.002634811,2.5987,0.000234521,0.052218,0.000305014,38.2,-327.25,161.12,-0.332884,-0.052218,2.5987
108,108,1565406947,1565406951,-67.95,162.37,327.25,0.259054,0.002214572,2.52012,0.000130384,0.0018224,0.001831681,78.2,-327.25,161.12,-0.259054,-0.0018224,2.52012
4,4,1565404670,1565404674,12.05,202.37,-32.75,0.0411784,0.001009318,2.20326,0.000134164,0.260594,0.00049049,-1.8,32.75,201.12,-0.0411784,-0.260594,2.20326
69,69,1565406088,1565406092,-7.95,202.37,-32.75,0.0219436,0.001487723,2.15006,5.48E-05,0.246878,0.000297607,18.2,32.75,201.12,-0.0219436,-0.246878,2.15006
74,74,1565406188,1565406192,-27.95,202.37,-32.75,0.0197396,0.000540212,2.0971,0.000158114,0.257528,0.000853973,38.2,32.75,201.12,-0.0197396,-0.257528,2.0971
139,139,1565407515,1565407519,-67.95,202.37,-32.75,-0.011311,0.000832155,2.00366,5.48E-05,0.246356,0.000807793,78.2,32.75,201.12,0.011311,-0.246356,2.00366
9,9,1565404772,1565404776,12.05,202.37,7.25,0.0419292,0.000602555,2.2361,0.0001,0.277592,0.000827659,-1.8,-7.25,201.12,-0.0419292,-0.277592,2.2361
64,64,1565406005,1565406009,-7.95,202.37,7.25,0.0106136,0.000581825,2.18602,4.47E-05,0.255132,0.000896309,18.2,-7.25,201.12,-0.0106136,-0.255132,2.18602
79,79,1565406273,1565406277,-27.95,202.37,7.25,0.0084972,0.000311014,2.13788,8.37E-05,0.267764,0.000584577,38.2,-7.25,201.12,-0.0084972,-0.267764,2.13788
134,134,1565407373,1565407377,-67.95,202.37,7.25,-0.0049856,0.001697142,2.05238,0.000130384,0.253722,0.000367042,78.2,-7.25,201.12,0.0049856,-0.253722,2.05238
14,14,1565404847,1565404851,12.05,202.37,47.25,0.0432088,0.000340589,2.27268,4.47E-05,0.285084,0.000511107,-1.8,-47.25,201.12,-0.0432088,-0.285084,2.27268
59,59,1565405928,1565405932,-7.95,202.37,47.25,0.0204444,0.001511358,2.22582,0.000204939,0.26566,0.000264858,18.2,-47.25,201.12,-0.0204444,-0.26566,2.22582
84,84,1565406368,1565406372,-27.95,202.37,47.25,0.0105196,0.001815627,2.18086,0.000114018,0.269762,0.001328258,38.2,-47.25,201.12,-0.0105196,-0.269762,2.18086
129,129,1565407295,1565407299,-67.95,202.37,47.25,-0.0120696,0.002020183,2.09564,5.48E-05,0.256174,0.000704329,78.2,-47.25,201.12,0.0120696,-0.256174,2.09564
19,19,1565404950,1565404954,12.05,202.37,87.25,0.0455738,0.004845808,2.31272,0.000327109,0.285238,0.000698656,-1.8,-87.25,201.12,-0.0455738,-0.285238,2.31272
54,54,1565405836,1565405840,-7.95,202.37,87.25,0.0304828,0.004520502,2.26784,8.94E-05,0.270892,0.001415775,18.2,-87.25,201.12,-0.0304828,-0.270892,2.26784
89,89,1565406458,1565406462,-27.95,202.37,87.25,0.017424,0.000713662,2.22352,4.47E-05,0.26273,0.000137659,38.2,-87.25,201.12,-0.017424,-0.26273,2.22352
124,124,1565407233,1565407237,-67.95,202.37,87.25,-0.0102514,0.001358396,2.14464,8.94E-05,0.23064,0.000509215,78.2,-87.25,201.12,0.0102514,-0.23064,2.14464
24,24,1565405036,1565405040,12.05,202.37,127.25,0.0674224,0.001148413,2.35844,0.000151658,0.286346,0.00268528,-1.8,-127.25,201.12,-0.0674224,-0.286346,2.35844
49,49,1565405737,1565405741,-7.95,202.37,127.25,0.0550572,0.000629721,2.31442,0.000109545,0.263886,0.0007998,18.2,-127.25,201.12,-0.0550572,-0.263886,2.31442
94,94,1565406548,1565406552,-27.95,202.37,127.25,0.0363866,0.00093241,2.27162,0.000130384,0.259608,0.000896421,38.2,-127.25,201.12,-0.0363866,-0.259608,2.27162
119,119,1565407165,1565407169,-67.95,202.37,127.25,0.0132192,0.001289808,2.19478,4.47E-05,0.24415,0.000652648,78.2,-127.25,201.12,-0.0132192,-0.24415,2.19478
29,29,1565405168,1565405172,12.05,202.37,167.25,0.0969746,0.001507282,2.40808,4.47E-05,0.283862,0.000652855,-1.8,-167.25,201.12,-0.0969746,-0.283862,2.40808
44,44,1565405612,1565405616,-7.95,202.37,167.25,0.06692,0.000658297,2.36464,0.000134164,0.262694,0.00111845,18.2,-167.25,201.12,-0.06692,-0.262694,2.36464
99,99,1565406663,1565406667,-27.95,202.37,167.25,0.05485,0.000840763,2.32348,0.000109545,0.241894,0.000626921,38.2,-167.25,201.12,-0.05485,-0.241894,2.32348
114,114,1565407083,1565407087,-67.95,202.37,167.25,0.0216986,0.000315103,2.2482,7.07E-05,0.207346,0.000413134,78.2,-167.25,201.12,-0.0216986,-0.207346,2.2482
144,144,1565407689,1565407693,-67.95,202.37,207.25,0.048907,0.000700292,2.30262,0.000109545,0.1731698,0.00070538,78.2,-207.25,201.12,-0.048907,-0.1731698,2.30262
189,189,1565408888,1565408892,-27.95,202.37,207.25,0.0945264,0.001543536,2.38022,4.47E-05,0.219572,0.001145434,38.2,-207.25,201.12,-0.0945264,-0.219572,2.38022
194,194,1565409016,1565409020,-7.95,202.37,207.25,0.0911128,0.000682403,2.41776,0.000114018,0.25799,0.000865881,18.2,-207.25,201.12,-0.0911128,-0.25799,2.41776
199,199,1565409161,1565409165,12.05,202.37,207.25,0.1076838,0.006923524,2.46088,0.000228035,0.273596,0.002677841,-1.8,-207.25,201.12,-0.1076838,-0.273596,2.46088
149,149,1565407766,1565407770,-67.95,202.37,247.25,0.0819236,0.003595485,2.35726,5.48E-05,0.1046534,0.000343771,78.2,-247.25,201.12,-0.0819236,-0.1046534,2.35726
174,174,1565408513,1565408517,12.05,202.37,247.25,0.1546718,0.000883682,2.5241,0.0001,0.233738,0.000551697,-1.8,-247.25,201.12,-0.1546718,-0.233738,2.5241
179,179,1565408597,1565408601,-7.95,202.37,247.25,0.1354684,0.000312971,2.47836,5.48E-05,0.199522,0.000563533,18.2,-247.25,201.12,-0.1354684,-0.199522,2.47836
184,184,1565408755,1565408759,-27.95,202.37,247.25,0.1287476,0.003109332,2.43846,0.000114018,0.182792,0.000751578,38.2,-247.25,201.12,-0.1287476,-0.182792,2.43846
154,154,1565407908,1565407912,-67.95,202.37,287.25,0.1474608,0.000320097,2.41316,0.000114018,0.0450344,0.001366197,78.2,-287.25,201.12,-0.1474608,-0.0450344,2.41316
159,159,1565408114,1565408118,-27.95,202.37,287.25,0.1753148,0.000467553,2.49784,8.94E-05,0.1402766,0.000877773,38.2,-287.25,201.12,-0.1753148,-0.1402766,2.49784
164,164,1565408250,1565408254,-7.95,202.37,287.25,0.183868,0.000160686,2.54208,4.47E-05,0.1481418,0.000482908,18.2,-287.25,201.12,-0.183868,-0.1481418,2.54208
169,169,1565408368,1565408372,12.05,202.37,287.25,0.227692,0.002761371,2.5907,0.000234521,0.180045,0.000766767,-1.8,-287.25,201.12,-0.227692,-0.180045,2.5907
34,34,1565405294,1565405298,12.05,202.37,327.25,0.332178,0.001693302,2.65596,5.48E-05,0.0743326,0.000638916,-1.8,-327.25,201.12,-0.332178,-0.0743326,2.65596
39,39,1565405428,1565405432,-7.95,202.37,327.25,0.274566,0.00077258,2.59722,0.000130384,0.0350704,0.000912421,18.2,-327.25,201.12,-0.274566,-0.0350704,2.59722
104,104,1565406838,1565406842,-27.95,202.37,327.25,0.241568,0.000890124,2.54424,8.94E-05,-0.0146004,0.000387563,38.2,-327.25,201.12,-0.241568,0.0146004,2.54424
109,109,1565406958,1565406962,-67.95,202.37,327.25,0.181112,0.000448185,2.45722,0.000109545,-0.0563688,0.001041026,78.2,-327.25,201.12,-0.181112,0.0563688,2.45722
