u_pos v_pos w_pos Bu_opera Bv_opera Bw_opera Bumap Bvmap Bwmap
-1.8       -127.25    81.12      -0.2612857 -0.3700767 2.26151657 -0.300526  -0.43175   2.20706
-1.8       -127.25    121.12     -0.2233059 -0.4533803 2.29284516 -0.239144  -0.385796  2.27634
-1.8       -127.25    161.12     -0.1639106 -0.5619635 2.32874057 -0.155824  -0.33814   2.32648
-1.8       -127.25    201.12     -0.1014938 -0.6983611 2.37195475 -0.0674224 -0.286346  2.35844
-1.8       -167.25    41.12      -0.2901767 -0.2277768 2.27901829 -0.3354    -0.507636  2.15586
-1.8       -167.25    81.12      -0.2813148 -0.2885937 2.33860642 -0.306802  -0.455472  2.25462
-1.8       -167.25    121.12     -0.2437335 -0.3801483 2.39431993 -0.257424  -0.401432  2.32702
-1.8       -167.25    161.12     -0.1935573 -0.4991041 2.45772301 -0.1807382 -0.340982  2.37824
-1.8       -167.25    201.12     -0.141813  -0.6470905 2.52405024 -0.0969746 -0.283862  2.40808
-1.8       -327.25    41.12      -0.5063426 0.61147226 2.46848649 -0.74072   -0.699156  2.49384
-1.8       -327.25    81.12      -0.4776888 0.54400494 2.68235548 -0.642736  -0.503174  2.6891
-1.8       -327.25    121.12     -0.4420441 0.42286781 2.88379908 -0.544818  -0.30148   2.72534
-1.8       -327.25    161.12     -0.4137798 0.25478522 3.09455653 -0.441598  -0.1625406 2.70088
-1.8       -327.25    201.12     -0.3999874 0.04907972 3.31294427 -0.332178  -0.0743326 2.65596
18.2       -327.25    41.12      -0.4380931 0.64252529 2.48155568 -0.582644  -0.53943   2.4902
18.2       -327.25    81.12      -0.4096637 0.57345441 2.69748831 -0.549232  -0.390396  2.64526
18.2       -327.25    121.12     -0.3815341 0.45277221 2.90640364 -0.47231   -0.23109   2.678
18.2       -327.25    161.12     -0.3564493 0.28166426 3.10626938 -0.369604  -0.1092562 2.64858
18.2       -327.25    201.12     -0.3495149 0.08569404 3.30814951 -0.274566  -0.0350704 2.59722
18.2       -167.25    41.12      -0.2725785 -0.2162254 2.27576781 -0.284806  -0.508982  2.15572
18.2       -167.25    81.12      -0.2582096 -0.2764098 2.34926748 -0.262652  -0.446292  2.23872
18.2       -167.25    121.12     -0.2251111 -0.3656218 2.41578251 -0.217002  -0.379684  2.30076
18.2       -167.25    161.12     -0.1808576 -0.4838786 2.48107048 -0.148199  -0.321534  2.34152
18.2       -167.25    201.12     -0.1411701 -0.6251725 2.54590412 -0.06692   -0.262694  2.36464
18.2       -127.25    41.12      -0.2554428 -0.3062079 2.2275362  -0.306532  -0.477314  2.10342
18.2       -127.25    81.12      -0.2457544 -0.3657785 2.27328184 -0.270784  -0.41913   2.1844
18.2       -127.25    121.12     -0.2099136 -0.4494017 2.31803568 -0.212094  -0.36873   2.24436
18.2       -127.25    161.12     -0.157623  -0.5535101 2.35637268 -0.1383572 -0.316064  2.2873
18.2       -127.25    201.12     -0.1077325 -0.6797839 2.39942474 -0.0550572 -0.263886  2.31442
18.2       -87.25     41.12      -0.2537497 -0.3632488 2.18130048 -0.321462  -0.44699   2.06594
18.2       -87.25     81.12      -0.2473281 -0.4180959 2.20804297 -0.262654  -0.406906  2.14132
18.2       -87.25     121.12     -0.2089959 -0.4955144 2.22692269 -0.200934  -0.361876  2.1976
18.2       -87.25     161.12     -0.153328  -0.5888258 2.24848944 -0.1192252 -0.318986  2.23938
18.2       -87.25     201.12     -0.0895718 -0.7022638 2.26985032 -0.0304828 -0.270892  2.26784
18.2       -47.25     41.12      -0.2704128 -0.3934192 2.13464094 -0.352112  -0.421692  2.0392
18.2       -47.25     81.12      -0.2647333 -0.4458537 2.14220914 -0.279222  -0.385776  2.10518
18.2       -47.25     121.12     -0.2237466 -0.5151525 2.14834308 -0.203752  -0.344442  2.15788
18.2       -47.25     161.12     -0.1581851 -0.5980046 2.15039086 -0.1163126 -0.308804  2.1971
18.2       -47.25     201.12     -0.0847688 -0.6945834 2.15859487 -0.0204444 -0.26566   2.22582
18.2       -7.25      41.12      -0.3061788 -0.3998939 2.09187764 -0.392678  -0.411242  2.01198
18.2       -7.25      81.12      -0.3017584 -0.4515886 2.08545285 -0.299996  -0.369248  2.07438
